,0
461,2.0 TSI DSG GTS (211cv)
462,2.3 Nafta C/D 4x2 XL Plus (148cv) (L09)
463,2.0 TFSI Tiptronic Quattro (225cv)
464,1.6 Highline 5Ptas. (ABG ABS)
465,1.7 TD GLS
466,3.0 TDI C/D 4x2 SR (171cv)
467,1.4 TFSI (150cv) MT 3Ptas.
468,4Ptas. 2.4 CD MT 16v
469,2.0 Ecoboost GTDI SEL (240cv) (L17) DISCONTINUO
470,2.0 4x2 6MT Luxe / Privilege (138cv)
471,4x4 CS DX 2.4 TDI 6MT (150cv) (L16)
472,Fase I 1.6 16v Confort
473,1.4 Attractive 5Ptas. (87cv) (L13)
474,1.6 THP 6MT Allure (156cv)
475,1.6 5Ptas. Highline I-Motion / Pack III (101cv) 
476,Limited 3.6 V6 AT (286hp) (L11)
477,Weekend 1.4 Trekking Active
478,Limited 3.7 Nafta AT (L08)
479,2.0 TDI (180cv) 4x4 C/Doble Highline AT (L17)
480,2.0 TFSI (200cv) MT
481,Furgón 1.4
482,1.6 MSI Connect 5Ptas. (101cv) (L15)
483,1.6 SE Plus Powershift (120cv) 4Ptas.
484,3.0 TDI C/D 4x4 SRV MT (171cv)
485,2.0 TDI (140cv) 4x4 C/Simple Startline
486,3.0 Executive
487,SW Premium 1.6 Hdi Cuero (110cv)
488,2.4 N 4x4 AT Premium (174hp) (L13)
489,2.0 TFSI (190cv) S-tronic S-Line 4Ptas.
490,2.0 EX CVT Sedán (154cv) (L17)
491,1.6 THP XY (156cv) 3Ptas.
492,Active 1.6 HDI (115cv) 5Ptas. (L12)
493,1.3 8v Volcano Cab.Doble (99cv) (L20)
494,Allure+ 2.0 Tiptronic (143cv) 4Ptas.
495,5Ptas. 1.6 XR Premium
496,EX 2.0 N AT 4x2 (155cv) (L11)
497,1.5 16v MT (107hp) 5Ptas.
498,II - 1.6 Campus 2P
499,1.6 Media Tech MT (107cv) 5Ptas.
500,1.5i 90 Feel (L16)
501,Fase 2 - 4Ptas. 1.9 TD Pack (L07) / Authentique AA DA Pack
502,118i Active (136cv) 5Ptas. (L16)
503,1.6 HDI Allure MT (92cv)
504,Titanium 2.3 N (161cv)
505,2.0 N GL 5MT 2WD (166cv) (L10)
506,5Ptas. 1.6 N Energy
507,Limited 3.0 CRD V6 AT (218hp) (L06)
508,2.5 4x2 Expression MT PH3 (170cv)
509,2.0 TDI (180cv) 4x2 C/Doble Dark Label AT
510,1.8 8v. LS AA DA (105cv) DISCONTINUO
511,Variant 2.0 TSi Luxury DSG Techo (211cv) (L11)
512,1.6 Advance AT (107cv) 4Ptas.
513,5Ptas. 1.4 Allure / EdG Géneration Plus
514,1.7 TD GL
515,1.5 Nafta 5Ptas. (100cv)
516,4x2 CS DX 2.4 TDI 6MT (150cv) (L18)
517,1.4 6MT Junior (78cv)
518,Avant 1.8 TFSI MT (160cv) Ambition / Sport Cuero
519,4Ptas. 2.4 GLS 16v
520,2.0 SEG CVT (170cv) (L20)
521,5Ptas.- 1.6 Hdi SX
522,1.4 TFSI (150cv) S-Tronic 3Ptas.
523,1.4 TFSI S-Tronic (150cv)
524,II - 1.5 dCi Authentique DA AA CD 1P
525,2.0 CRDI MT 4WD (L05)
526,1.8 LT AT (141cv) 4Ptas.
527,Minibus 12 Pas. 2.5 CRDI AT Full Premium VGT (170cv) (L15)
528,2.4 N 4x2 AT (174hp) (L13)
529,2.0 TFSI S-tronic Quattro (170cv)
530,2.5 R5 Luxury Wood Tiptronic (150cv)
531,2.0 TFSI (200cv) Tiptronic
532,Countryman S All4 1.6 AT (184cv)
533,2.0 Ranch 4x4 9AT Cab/Doble (170cv) (L19) DISCONTINUO
534,EL 1.6 16v Confort / Emotion (L14)
535,1.6 VTi 115 Tendance (L13) 
536,C/Doble 4x4 2.5 TD 5AT LE Attack (172cv) (L13)
537,1.3 N Luxury 16v (83cv) 5Ptas.
538,1.4i SX
539,1.6 Luxury MT 4x2 (125cv) (L17)
540,2.0 TFSI Multitronic (225cv) Ambition Plus
541,Furgón 1.6 HDI PLC Pack Seguridad CCP (L10)
542,1.6 Comfortline Tiptronic (110cv)
543,Country 1.9 SD Trendline
544,1.6 T Feline Tiptronic (163cv) (L16) 4Ptas.
545,2.0i Tendance Pack (143cv) 
546,4Ptas. 1.6 N Super Pack Eléctrico / Estilo
547,320i Sedán Executive (184cv) 
548,1.4 TFSI MT (150cv)
549,1.6 Advance (100cv) (L07)
550,1.8 8v. LS Pack (105cv) DISCONTINUO
551,5Ptas. 2.0 Hdi XS Dynamique (90cv)
552,2.8 CTDI C/Doble 4x2 High Country (200cv) (L16)
553,1.6 Feel Pack (115cv) (L18)
554,2.8 CTDI C/Doble 4x4 LT (200cv) (L16)
